,피부고민,정도,성분명,성분 설명
136,안티에이징,훌륭함,밀크씨슬추출물,방대한 범위의 연구 결과 이 추출물을 다양하게 사용하는 방법이 소개되었다.
137,안티에이징,훌륭함,바바수씨오일,일반적으로 바바수오일로 알려진 이 무향의 견과유는 피부를 매끄럽고 부드럽게 가꾸어 주며 좋은 항산화제 역할을 한다.
138,안티에이징,훌륭함,바바수오일,바바수오일은 브라질이 원산지인 바바수나무(Orbignya oleifera) 식물의 씨앗에서 추출된다.
139,안티에이징,훌륭함,바베리(매자),"식물이며, 베르베린(Berberine)이라는 진정 효과가 있는 알칼로이드가 주성분이다."
140,안티에이징,훌륭함,바이오플라보노이드,"다양한 범위의 물질들로, 많은 과일과 채소의 구성요소이다."
141,안티에이징,훌륭함,바쿠치올,"변색, 주름 및 기타 노후의 징후를 줄인다고 연구로 입증되었다. 탄력 개선과 매끄러운 피부에 기여한다. "
142,안티에이징,훌륭함,밤부사 불가리스잎/줄기추출물,일반적인 대나무 식물에서 추출한다.
143,안티에이징,훌륭함,배더락스추출물,갈조류의 일종인 배더락스(Badderlocks)에서 추출한 성분. 보충 지방산이 혼합되어 있어 국소 사용시 항산화제와 수분 공급제로 사용된다.
144,안티에이징,훌륭함,백차잎추출물,최소한으로 가공된 녹차의 새싹과 잎에서 추출된다. 
145,안티에이징,훌륭함,버독,피부를 진정시켜주는 항산화제 역할을 한다.
146,안티에이징,훌륭함,버독뿌리,식물 추출물의 활성 성분이 피부 진정 및 항산화 작용을 한다. 
147,안티에이징,훌륭함,버독뿌리추출물,피부를 진정시키는 역할을 하는 항산화제이다.
148,안티에이징,훌륭함,베어베리잎추출물,항산화 특성을 가진 식물성 성분. 피부 변색을 개선하는 데 도움이 된다는 연구 결과가 있다.
149,안티에이징,훌륭함,베어베리추출물,베어베리추출물은 진정 효과가 있다는 연구 결과가 있다. 
150,안티에이징,훌륭함,벤조페논-3,"옥시벤존(Oxybenzone)이라고도 불리는 자외선차단제이며, 주로 UVB 광선으로부터 피부를 보호해준다. "
151,안티에이징,훌륭함,병풀추출물,"한국 시카 크림의 핵심 성분으로, 항산화제와 아미노산의 풍부한 공급원이며 진정 특성으로 유명하다."
152,안티에이징,훌륭함,보검선인장줄기추출물,
153,안티에이징,훌륭함,보리지씨오일,"무향의 식물성 오일이며, 감마리놀레닉애씨드와 기타 피부에 필요한 필수 지방산을 함유하고 있다."
154,안티에이징,훌륭함,보리지씨추출물,보리지(Borago officinalis) 식물의 추출물로 진정 특성이 있다.
155,안티에이징,훌륭함,보리지씨추출물,"보리지씨의 추출물로, 진정 효과가 있다."
156,안티에이징,훌륭함,보리지추출물,피부 진정 성분이다.
157,안티에이징,훌륭함,보이젠베리,강력한 항산화 특성을 가진 베리이다.
158,안티에이징,훌륭함,복령, 복령은 버섯의 한 종류이다. 전 세계에서 소나무를 비롯한 다른 나무의 뿌리에 붙어 지층 아래에서 자란다.
159,안티에이징,훌륭함,복령추출물,"복령(Hoelen)이나 푸링(Fu ling)이라고도 알려져 있는 버섯에서 유래한 추출물로, 항산화 및 피부 진정 특성이 있다. "
160,안티에이징,훌륭함,부들레야추출물,썸머 라일락(Summer lilac) 또는 나비 덤불(꽃이 나비의 식량원이기 때문에)로도 알려져 있는 식물이다.
161,안티에이징,훌륭함,부티로스페르뭄 열매,"시어 나무의 열매로, 시어 나무의 학명은 Butyrospermum parkii 이다. 이 열매에서 추출한 지방으로 시어 버터를 만든다."
162,안티에이징,훌륭함,부틸메톡시디벤조일메탄,"UVA 전용 자외선 차단 필터로, 광범위 스펙트럼으로 보호하기 위해 다른 자외선 차단 성분과 함께 사용해야 한다. 화장품 제조 단계에서 성분을 안정화 시켜 피부에 발랐을 때 조기 분해되지 않도록 해야 한다."
163,안티에이징,훌륭함,분홍바늘꽃추출물,"식물 추출물로, 피부 진정 및 항산화 효과가 있다고 알려져 있다."
164,안티에이징,훌륭함,불가리스매자뿌리추출물,매자(Barberry)나무에서 추출한 추출물이며 피부 진정 및 항산화 효과를 제공한다.  
165,안티에이징,훌륭함,붉은토끼풀,"붉은토끼풀은 레드클로버(Red clover)로도 알려져 있으며, 피부에 항산화 및 진정 특성을 가진다."
166,안티에이징,훌륭함,붉은토끼풀추출물,
167,안티에이징,훌륭함,브로콜리추출물,
168,안티에이징,훌륭함,블래더랙추출물,블래더랙(Bladderwrack)은 식용 가능한 갈조류(해초)의 일종이다.
169,안티에이징,훌륭함,블래더랙추출물,"해초에서 추출한 추출물로, 효과적인 항산화제가 될 수 있으며 수분 결합 특성이 있다. "
170,안티에이징,훌륭함,블랙라즈베리,항산화 특성을 가진 열매이다.
171,안티에이징,훌륭함,블랙라즈베리열매추출물,
172,안티에이징,훌륭함,블랙베리(서양산딸기),항산화 특성을 가진 베리이다.
173,안티에이징,훌륭함,블랙엘더베리,블랙엘더베리는 경구 복용 시 항산화 특성이 있다.
174,안티에이징,훌륭함,블랙엘더베리,이 식물은 자연적으로 존재하는 플라보이드 화합물로 인해 강력한 항산화 특성을 가진다.
175,안티에이징,훌륭함,블랙체리열매추출물,"일반적으로 블랙체리(Black cherry)로 알려진 야생 체리(Wild Cherry) 추출물은 항산화제의 강력한 공급원으로, 특히 폴리페놀이라고 알려진 여러 종류의 항산화제를 함유하고 있다."
176,안티에이징,훌륭함,블랙커런트오일,비휘발성 식물성 오일이다.
177,안티에이징,훌륭함,비사보롤,피부 진정 효과가 뛰어난 진정 성분이다. 카모마일과 같은 식물에서 추출하거나 합성으로 만든다.
178,안티에이징,훌륭함,비오틴/폴릭애씨드/시아노코바라민/니아신아마이드/판토테닉애씨드/피리독신/리보플라빈/티아민/효모폴리펩테이드,"피부에 활기를 북돋아주는 혼합물로, 몇 가지의 비타민 B와 안정화를 위한 효모 펩타이드가 결합되어 있으며 피부에 수분을 공급하고 컨디셔닝하는데 도움을 준다."
179,안티에이징,훌륭함,비타민 A,"비타민 A는 레티놀이라고도 알려져 있으며, 가장 잘 알려진 노화 방지 성분 중 하나이다. 강력한 성분으로, 피부에 여러 가지 이점을 제공하며 가시적인 결과를 선사하기 위해 다양한 농도로 사용된다."
180,안티에이징,훌륭함,비타민 B3,"모공의 크기를 눈에 띄게 줄여주고, 칙칙하고 고르지 못한 피부 톤을 개선해주며, 주름을 옅게 해주는 데 도움을 준다. 또한 피부 장벽 강화 및 수분 공급을 촉진한다."
181,안티에이징,훌륭함,비타민 B5,비타민 B5는 판토테닉애씨드라고도 불린다.
182,안티에이징,훌륭함,비타민 C,비타민 C를 지속적으로 사용하면 여러 노화의 징후를 개선하고 고르지 못한 피부 톤을 밝게 하며 피부 회복 및 진정 효과를 제공한다고 나타났다.
